# Demo spectrum for 3D visualization
# Wavenumber (cm-1)	Intensity
571.21	0.262394
573.09	0.331958
574.97	0.132695
576.85	0.054442
578.72	0.224079
580.60	0.160491
582.48	0.244074
584.36	0.055026
586.23	0.183464
588.11	0.016635
589.99	0.003022
591.86	0.087658
593.74	0.376265
595.62	0.054451
597.50	0.264817
599.37	0.171839
601.25	0.022650
603.13	0.058806
605.01	0.052329
606.88	0.005857
608.76	0.092055
610.64	0.039075
612.52	0.086762
614.39	0.300940
616.27	0.021016
618.15	0.099179
620.03	0.034067
621.90	0.219144
623.78	0.021265
625.66	0.033678
627.53	0.053063
629.41	0.468367
631.29	0.512765
633.17	0.240469
635.04	0.147759
636.92	0.121892
638.80	0.046646
640.68	0.105610
642.55	0.098734
644.43	0.089071
646.31	0.027328
648.19	0.081720
650.06	0.033583
651.94	0.039017
653.82	0.049521
655.69	0.251191
657.57	0.046382
659.45	0.095809
661.33	0.046286
663.20	0.025350
665.08	0.049831
666.96	0.007048
668.84	0.009668
670.71	0.000720
672.59	0.096440
674.47	0.100637
676.35	0.014986
678.22	0.046390
680.10	0.026708
681.98	0.088078
683.85	0.126048
685.73	0.200251
687.61	0.028444
689.49	0.108817
691.36	0.011859
693.24	0.000942
695.12	0.028371
697.00	0.006471
698.87	0.119328
700.75	0.013231
702.63	0.045873
704.51	0.063879
706.38	0.005186
708.26	0.055735
710.14	0.012973
712.02	0.213635
713.89	0.042701
715.77	0.069851
717.65	0.327146
719.52	0.173302
721.40	0.028457
723.28	0.020700
725.16	0.398884
727.03	0.122650
728.91	0.021465
730.79	0.133053
732.67	0.087030
734.54	0.015394
736.42	0.060959
738.30	0.044606
740.18	0.059387
742.05	0.265790
743.93	0.132738
745.81	0.065946
747.68	0.094006
749.56	0.086286
751.44	0.064637
753.32	0.047937
755.19	0.033645
757.07	0.100385
758.95	0.027412
760.83	0.097117
762.70	0.075250
764.58	0.008590
766.46	0.045790
768.34	0.025028
770.21	0.035915
772.09	0.066207
773.97	0.152342
775.84	0.048308
777.72	0.093640
779.60	0.064250
781.48	0.211559
783.35	0.029721
785.23	0.167863
787.11	0.153595
788.99	0.005406
790.86	0.072435
792.74	0.166260
794.62	0.050258
796.50	0.035445
798.37	0.223430
800.25	0.163647
802.13	0.074069
804.01	0.241144
805.88	0.050395
807.76	0.007964
809.64	0.203284
811.51	0.015114
813.39	0.004453
815.27	0.067608
817.15	0.118510
819.02	0.253208
820.90	0.110789
822.78	0.089974
824.66	0.051942
826.53	0.081837
828.41	0.107100
830.29	0.177359
832.17	0.161718
834.04	0.007827
835.92	0.028012
837.80	0.048873
839.67	0.006501
841.55	0.168793
843.43	0.036752
845.31	0.049276
847.18	0.083230
849.06	0.047293
850.94	0.028943
852.82	0.088114
854.69	0.071308
856.57	0.027037
858.45	0.014119
860.33	0.095578
862.20	0.077880
864.08	0.008231
865.96	0.103484
867.83	0.040221
869.71	0.048192
871.59	0.101968
873.47	0.052076
875.34	0.236629
877.22	0.069445
879.10	0.078540
880.98	0.020941
882.85	0.037863
884.73	0.012168
886.61	0.022991
888.49	0.018812
890.36	0.452200
892.24	0.053065
894.12	0.102236
895.99	0.006073
897.87	0.088745
899.75	0.285416
901.63	0.081739
903.50	0.006946
905.38	0.088858
907.26	0.018092
909.14	0.037932
911.01	0.014312
912.89	0.217589
914.77	0.047758
916.65	0.016185
918.52	0.105451
920.40	0.144012
922.28	0.019585
924.16	0.005330
926.03	0.149804
927.91	0.093366
929.79	0.029045
931.66	0.088534
933.54	0.094695
935.42	0.404070
937.30	0.041987
939.17	0.016008
941.05	0.005524
942.93	0.100986
944.81	0.168215
946.68	0.114828
948.56	0.300709
950.44	0.230169
952.32	0.080610
954.19	0.024070
956.07	0.040971
957.95	0.281799
959.82	0.027396
961.70	0.276725
963.58	0.056557
965.46	0.017771
967.33	0.066292
969.21	0.154649
971.09	0.077516
972.97	0.066371
974.84	0.048422
976.72	0.017490
978.60	0.008133
980.48	0.102175
982.35	0.105836
984.23	0.194541
986.11	0.034338
987.98	0.112927
989.86	0.033859
991.74	0.156834
993.62	0.009356
995.49	0.080342
997.37	0.022805
999.25	0.163443
1001.13	0.010337
1003.00	0.128958
1004.88	0.357882
1006.76	0.091458
1008.64	0.023458
1010.51	0.108438
1012.39	0.153875
1014.27	0.025938
1016.15	0.008099
1018.02	0.015847
1019.90	0.043218
1021.78	0.031571
1023.65	0.207691
1025.53	0.309326
1027.41	0.022977
1029.29	0.039852
1031.16	0.235577
1033.04	0.113732
1034.92	0.096060
1036.80	0.032921
1038.67	0.011934
1040.55	0.097447
1042.43	0.189564
1044.31	0.068075
1046.18	0.407291
1048.06	0.015969
1049.94	0.055017
1051.81	0.034455
1053.69	0.030909
1055.57	0.091239
1057.45	0.108128
1059.32	0.257002
1061.20	0.022402
1063.08	0.184118
1064.96	0.016426
1066.83	0.059049
1068.71	0.209935
1070.59	0.035208
1072.47	0.012449
1074.34	0.026674
1076.22	2.877892
1078.10	0.183345
1079.97	0.051314
1081.85	0.781104
1083.73	1.317149
1085.61	2.270296
1087.48	1.018108
1089.36	0.103795
1091.24	0.699220
1093.12	2.318868
1094.99	0.097371
1096.87	0.031260
1098.75	0.114048
1100.63	0.065149
1102.50	0.046719
1104.38	0.308915
1106.26	0.067505
1108.14	0.118582
1110.01	0.007617
1111.89	0.146953
1113.77	0.063893
1115.64	0.023829
1117.52	0.048074
1119.40	0.004314
1121.28	0.060426
1123.15	0.116081
1125.03	0.184889
1126.91	0.028012
1128.79	0.049780
1130.66	0.202654
1132.54	0.130957
1134.42	0.137323
1136.30	0.133927
1138.17	0.028279
1140.05	0.106458
1141.93	0.005245
1143.80	0.077574
1145.68	0.013490
1147.56	0.210822
1149.44	0.228311
1151.31	0.121355
1153.19	0.101364
1155.07	0.174804
1156.95	0.088860
1158.82	0.055675
1160.70	0.026248
1162.58	0.165391
1164.46	0.117953
1166.33	0.007647
1168.21	0.111041
1170.09	0.087656
1171.96	0.167631
1173.84	0.137926
1175.72	0.106434
1177.60	0.267073
1179.47	0.034415
1181.35	0.034935
1183.23	0.007862
1185.11	0.130701
1186.98	0.057391
1188.86	0.076702
1190.74	0.014346
1192.62	0.005964
1194.49	0.039489
1196.37	0.015128
1198.25	0.116750
1200.13	0.092829
1202.00	0.050936
1203.88	0.031674
1205.76	0.781347
1207.63	0.246182
1209.51	0.019036
1211.39	0.106257
1213.27	0.097340
1215.14	0.076800
1217.02	0.000401
1218.90	0.008959
1220.78	0.071130
1222.65	0.115627
1224.53	0.092046
1226.41	0.181027
1228.29	0.065161
1230.16	0.059736
1232.04	0.010169
1233.92	0.052797
1235.79	0.020850
1237.67	0.114383
1239.55	0.220092
1241.43	0.242363
1243.30	0.236808
1245.18	0.015259
1247.06	0.047710
1248.94	0.122482
1250.81	0.175305
1252.69	0.337201
1254.57	0.129335
1256.45	0.142932
1258.32	0.090181
1260.20	0.027279
1262.08	0.067880
1263.95	0.156526
1265.83	0.101838
1267.71	0.026988
1269.59	0.096448
1271.46	0.101000
1273.34	0.102823
1275.22	0.025036
1277.10	0.061024
1278.97	0.148184
1280.85	0.066354
1282.73	0.045069
1284.61	0.072079
1286.48	0.156943
1288.36	0.152854
1290.24	0.088959
1292.12	0.017064
1293.99	0.006272
1295.87	0.096149
1297.75	0.083475
1299.62	0.242067
1301.50	0.028429
1303.38	0.029073
1305.26	0.229672
1307.13	0.038538
1309.01	0.044164
1310.89	0.035471
1312.77	0.047325
1314.64	0.066973
1316.52	0.026811
1318.40	0.049202
1320.28	0.019642
1322.15	0.032621
1324.03	0.017655
1325.91	0.043239
1327.78	0.152088
1329.66	0.103615
1331.54	0.030510
1333.42	0.250909
1335.29	0.098726
1337.17	0.511122
1339.05	0.012418
1340.93	0.006895
1342.80	0.010710
1344.68	0.103786
1346.56	0.073734
1348.44	0.025113
1350.31	0.170339
1352.19	0.344073
1354.07	0.041006
1355.94	0.008453
1357.82	0.159282
1359.70	0.247303
1361.58	0.003074
1363.45	0.073456
1365.33	0.037899
1367.21	0.159502
1369.09	0.085649
1370.96	0.129990
1372.84	0.026518
1374.72	0.003018
1376.60	0.006402
1378.47	0.121895
1380.35	0.022818
1382.23	0.003429
1384.11	0.050981
1385.98	0.055875
1387.86	0.202253
1389.74	0.037879
1391.61	0.029469
1393.49	0.035695
1395.37	0.005606
1397.25	0.376167
1399.12	0.056868
1401.00	0.110532
1402.88	0.097283
1404.76	0.057379
1406.63	0.055670
1408.51	0.066718
1410.39	0.018488
1412.27	0.017939
1414.14	0.019538
1416.02	0.015940
1417.90	0.053613
1419.77	0.020048
1421.65	0.030612
1423.53	0.075741
1425.41	0.059180
1427.28	0.111965
1429.16	0.029356
1431.04	0.024793
1432.92	0.259711
1434.79	0.056291
1436.67	0.076557
1438.55	0.003713
1440.43	0.160081
1442.30	0.048477
1444.18	0.043790
1446.06	0.008052
1447.93	0.128066
1449.81	0.078815
1451.69	0.082621
1453.57	0.024724
1455.44	0.024189
1457.32	0.135704
1459.20	0.101998
1461.08	0.038180
1462.95	0.070241
1464.83	0.071422
1466.71	0.068588
1468.59	0.074724
1470.46	0.102751
1472.34	0.140451
1474.22	0.036527
1476.10	0.160159
1477.97	0.175399
1479.85	0.075505
1481.73	0.024748
1483.60	0.306483
1485.48	0.041501
1487.36	0.166779
1489.24	0.028569
1491.11	0.018825
1492.99	0.280590
1494.87	0.218712
1496.75	0.173460
1498.62	0.042407
1500.50	0.002905
1502.38	0.051690
1504.26	0.064653
1506.13	0.143075
1508.01	0.002254
1509.89	0.062324
1511.76	0.044565
1513.64	0.088680
1515.52	0.025215
1517.40	0.169110
1519.27	0.095244
1521.15	0.072081
1523.03	0.125012
1524.91	0.014470
1526.78	0.031171
1528.66	0.090078
1530.54	0.091486
1532.42	0.026641
1534.29	0.004314
1536.17	0.293480
1538.05	0.106295
1539.92	0.039744
1541.80	0.019966
1543.68	0.053199
1545.56	0.019580
1547.43	0.134322
1549.31	0.067161
1551.19	0.297720
1553.07	0.159385
1554.94	0.003289
1556.82	0.102620
1558.70	0.069597
1560.58	0.084083
1562.45	0.003850
1564.33	0.045990
1566.21	0.390112
1568.09	0.361828
1569.96	0.025139
1571.84	0.140035
1573.72	0.085264
1575.59	0.205690
1577.47	0.078095
1579.35	0.033350
1581.23	0.459754
1583.10	0.146099
1584.98	0.033020
1586.86	0.038731
1588.74	0.052804
1590.61	0.013429
1592.49	0.219752
1594.37	0.144280
1596.25	0.105687
1598.12	0.034560
1600.00	0.011524
