# Synthetic Calcite - Sample Raman Spectrum
# Wavenumber (cm-1)	Intensity (a.u.)
982.88	1.54
986.19	2.64
989.49	1.57
992.79	0.00
996.10	1.52
999.40	1.24
1002.70	1.06
1006.01	2.67
1009.31	1.17
1012.61	1.12
1015.92	0.00
1019.22	0.00
1022.52	0.00
1025.83	0.00
1029.13	0.00
1032.43	0.00
1035.74	0.39
1039.04	0.00
1042.34	0.00
1045.65	3.53
1048.95	0.00
1052.25	4.06
1055.56	2.77
1058.86	10.06
1062.16	20.82
1065.47	31.73
1068.77	43.38
1072.07	63.43
1075.38	80.91
1078.68	101.04
1081.98	115.31
1085.29	119.77
1088.59	118.17
1091.89	109.58
1095.20	88.80
1098.50	69.56
1101.80	50.97
1105.11	32.86
1108.41	19.31
1111.71	14.72
1115.02	7.63
1118.32	5.57
1121.62	0.14
1124.92	2.92
1128.23	1.63
1131.53	2.99
1134.83	0.00
1138.14	0.37
1141.44	2.17
1144.74	0.00
1148.05	0.00
1151.35	4.82
1154.65	0.00
1157.96	0.00
1161.26	0.71
1164.56	0.59
1167.87	2.15
1171.17	0.00
1174.47	0.00
1177.78	2.12
1181.08	0.00
1184.38	0.00
1187.69	0.77
1190.99	0.00
1194.29	0.00
1197.60	0.00
1200.90	0.85
1204.20	0.81
1207.51	1.29
1210.81	2.02
1214.11	0.00
1217.42	0.00
1220.72	1.62
1224.02	0.00
1227.33	0.00
1230.63	0.00
1233.93	4.30
1237.24	0.00
1240.54	0.00
1243.84	1.24
1247.15	0.14
1250.45	0.77
1253.75	2.74
1257.06	0.92
1260.36	0.00
1263.66	0.00
1266.97	3.93
1270.27	0.00
1273.57	3.11
1276.88	0.00
1280.18	0.11
1283.48	0.00
1286.79	1.14
1290.09	0.00
1293.39	0.68
1296.70	1.42
1300.00	2.87
1303.30	2.20
1306.61	1.90
1309.91	0.00
1313.21	1.90
1316.52	4.13
1319.82	0.00
1323.12	0.00
1326.43	0.00
1329.73	0.85
1333.03	0.00
1336.34	1.61
1339.64	2.16
1342.94	0.00
1346.25	0.00
1349.55	0.09
1352.85	0.77
1356.16	1.63
1359.46	0.00
1362.76	0.00
1366.07	1.70
1369.37	0.00
1372.67	0.78
1375.98	0.00
1379.28	0.14
1382.58	0.00
1385.89	4.25
1389.19	2.48
1392.49	0.19
1395.80	0.00
1399.10	1.99
1402.40	0.00
1405.71	0.00
1409.01	0.00
1412.31	0.01
1415.62	1.26
1418.92	0.00
1422.22	3.63
1425.53	2.60
1428.83	0.00
1432.13	0.00
1435.44	0.00
1438.74	2.60
1442.04	0.25
1445.35	1.45
1448.65	0.34
1451.95	0.00
1455.26	0.27
1458.56	0.00
1461.86	0.00
1465.17	2.18
1468.47	1.94
1471.77	5.25
1475.08	3.21
1478.38	0.00
1481.68	0.00
1484.98	0.00
1488.29	0.43
1491.59	3.08
1494.89	0.62
1498.20	0.00
1501.50	0.47
1504.80	0.96
1508.11	3.38
1511.41	0.82
1514.71	0.00
1518.02	2.53
1521.32	3.00
1524.62	0.00
1527.93	0.00
1531.23	3.97
1534.53	0.00
1537.84	0.00
1541.14	5.87
1544.44	0.46
1547.75	1.90
1551.05	0.36
1554.35	0.00
1557.66	0.50
1560.96	3.50
1564.26	1.57
1567.57	1.71
1570.87	0.00
1574.17	0.00
1577.48	0.32
1580.78	0.00
1584.08	0.00
1587.39	0.00
1590.69	0.00
1593.99	1.57
1597.30	0.00
1600.60	0.28
1603.90	0.35
1607.21	0.21
1610.51	1.63
1613.81	3.20
1617.12	0.00
1620.42	0.00
1623.72	1.86
1627.03	0.27
1630.33	0.80
1633.63	2.54
1636.94	2.21
1640.24	1.56
1643.54	0.00
1646.85	0.00
1650.15	0.00
1653.45	0.06
1656.76	0.00
1660.06	0.00
1663.36	0.76
1666.67	0.00
1669.97	0.00
1673.27	0.00
1676.58	0.00
1679.88	0.13
1683.18	0.00
1686.49	0.00
1689.79	0.00
1693.09	0.51
1696.40	0.00
1699.70	3.19
1703.00	0.00
1706.31	0.00
1709.61	0.73
1712.91	0.00
1716.22	1.35
1719.52	0.00
1722.82	3.38
1726.13	0.00
1729.43	0.00
1732.73	1.53
1736.04	0.55
1739.34	0.00
1742.64	0.01
1745.95	1.08
1749.25	1.69
1752.55	0.00
1755.86	0.48
1759.16	0.05
1762.46	3.80
1765.77	0.18
1769.07	1.41
1772.37	0.00
1775.68	0.77
1778.98	0.00
1782.28	0.08
1785.59	0.00
1788.89	0.00
1792.19	0.00
1795.50	1.10
1798.80	0.00
1802.10	0.51
1805.41	0.00
1808.71	2.28
1812.01	0.00
1815.32	1.67
1818.62	0.46
1821.92	0.71
1825.23	0.00
1828.53	0.00
1831.83	0.00
1835.14	0.00
1838.44	0.31
1841.74	0.00
1845.05	0.00
1848.35	0.00
1851.65	0.00
1854.95	3.28
1858.26	0.00
1861.56	0.00
1864.86	0.28
1868.17	0.00
1871.47	0.00
1874.77	0.00
1878.08	0.19
1881.38	0.26
1884.68	0.00
1887.99	0.98
1891.29	0.00
1894.59	2.55
1897.90	0.38
1901.20	0.00
1904.50	0.00
1907.81	0.00
1911.11	1.32
1914.41	0.80
1917.72	0.00
1921.02	1.36
1924.32	0.00
1927.63	0.00
1930.93	4.21
1934.23	1.58
1937.54	2.01
1940.84	0.00
1944.14	3.71
1947.45	0.00
1950.75	4.00
1954.05	1.39
1957.36	0.79
1960.66	0.00
1963.96	0.00
1967.27	0.00
1970.57	3.92
1973.87	0.00
1977.18	0.00
1980.48	1.52
1983.78	0.43
1987.09	0.48
1990.39	0.51
1993.69	1.50
1997.00	0.00
2000.30	0.09
2003.60	0.00
2006.91	0.36
2010.21	0.00
2013.51	0.00
2016.82	0.00
2020.12	0.00
2023.42	1.67
2026.73	0.00
2030.03	0.00
2033.33	0.53
2036.64	0.00
2039.94	0.00
2043.24	0.00
2046.55	0.00
2049.85	0.00
2053.15	2.44
2056.46	1.17
2059.76	1.20
2063.06	0.00
2066.37	0.00
2069.67	0.00
2072.97	0.74
2076.28	2.98
2079.58	0.00
2082.88	1.69
2086.19	0.18
2089.49	1.09
2092.79	0.62
2096.10	0.00
2099.40	0.00
2102.70	0.25
2106.01	1.93
2109.31	0.00
2112.61	0.28
2115.92	0.00
2119.22	0.00
2122.52	0.16
2125.83	0.00
2129.13	0.00
2132.43	0.00
2135.74	0.11
2139.04	0.00
2142.34	0.97
2145.65	0.00
2148.95	0.00
2152.25	0.00
2155.56	2.83
2158.86	0.00
2162.16	0.03
2165.47	0.00
2168.77	3.69
2172.07	0.00
2175.38	1.99
2178.68	2.47
2181.98	0.00
2185.29	0.00
2188.59	1.25
2191.89	1.00
2195.20	0.00
2198.50	0.00
2201.80	0.00
2205.11	0.00
2208.41	1.57
2211.71	2.55
2215.02	0.00
2218.32	0.00
2221.62	0.00
2224.92	1.12
2228.23	0.77
2231.53	0.30
2234.83	0.00
2238.14	4.05
2241.44	0.00
2244.74	4.54
2248.05	0.00
2251.35	0.00
2254.65	0.00
2257.96	0.90
2261.26	0.00
2264.56	0.00
2267.87	1.45
2271.17	1.39
2274.47	0.78
2277.78	6.34
2281.08	1.11
2284.38	3.08
2287.69	3.92
2290.99	1.69
2294.29	2.71
2297.60	0.00
2300.90	1.38
2304.20	1.41
2307.51	0.00
2310.81	0.00
2314.11	0.00
2317.42	0.21
2320.72	0.00
2324.02	0.00
2327.33	0.00
2330.63	1.70
2333.93	2.94
2337.24	0.00
2340.54	0.00
2343.84	0.00
2347.15	0.00
2350.45	1.52
2353.75	1.30
2357.06	0.75
2360.36	0.00
2363.66	0.51
2366.97	0.96
2370.27	0.00
2373.57	0.00
2376.88	0.85
2380.18	0.00
2383.48	0.00
2386.79	1.28
2390.09	4.11
2393.39	3.98
2396.70	0.00
2400.00	2.76
2403.30	0.18
2406.61	0.17
2409.91	0.91
2413.21	0.00
2416.52	0.83
2419.82	0.00
2423.12	0.58
2426.43	0.18
2429.73	1.02
2433.03	1.11
2436.34	0.00
2439.64	0.00
2442.94	0.71
2446.25	1.93
2449.55	1.57
2452.85	1.01
2456.16	2.05
2459.46	1.52
2462.76	0.95
2466.07	3.16
2469.37	0.00
2472.67	0.00
2475.98	0.00
2479.28	0.88
2482.58	4.27
2485.89	0.57
2489.19	0.00
2492.49	0.00
2495.80	1.30
2499.10	0.94
2502.40	0.00
2505.71	0.00
2509.01	0.23
2512.31	0.00
2515.62	1.11
2518.92	1.75
2522.22	0.00
2525.53	0.88
2528.83	0.00
2532.13	0.00
2535.44	0.00
2538.74	0.00
2542.04	0.00
2545.35	1.39
2548.65	0.00
2551.95	0.00
2555.26	0.00
2558.56	1.69
2561.86	4.14
2565.17	0.00
2568.47	1.16
2571.77	0.00
2575.08	1.29
2578.38	0.00
2581.68	0.84
2584.98	0.00
2588.29	0.00
2591.59	0.00
2594.89	0.00
2598.20	3.02
2601.50	1.79
2604.80	0.00
2608.11	1.31
2611.41	0.29
2614.71	0.00
2618.02	0.11
2621.32	0.00
2624.62	2.58
2627.93	0.00
2631.23	0.00
2634.53	0.00
2637.84	1.27
2641.14	1.10
2644.44	0.00
2647.75	0.27
2651.05	1.64
2654.35	0.63
2657.66	2.73
2660.96	0.42
2664.26	0.00
2667.57	2.43
2670.87	0.00
2674.17	0.00
2677.48	2.83
2680.78	0.70
2684.08	0.00
2687.39	0.68
2690.69	0.34
2693.99	2.62
2697.30	0.00
2700.60	0.45
2703.90	0.00
2707.21	0.00
2710.51	0.20
2713.81	1.59
2717.12	1.68
2720.42	0.00
2723.72	3.95
2727.03	0.32
2730.33	3.45
2733.63	0.00
2736.94	0.00
2740.24	0.00
2743.54	1.66
2746.85	0.66
2750.15	1.17
2753.45	1.67
2756.76	0.00
2760.06	2.45
2763.36	4.58
2766.67	0.00
2769.97	0.00
2773.27	0.16
2776.58	3.87
2779.88	0.00
2783.18	0.00
2786.49	0.00
2789.79	0.00
2793.09	0.00
2796.40	0.35
2799.70	0.00
2803.00	0.86
2806.31	0.00
2809.61	3.80
2812.91	1.54
2816.22	0.28
2819.52	0.00
2822.82	0.00
2826.13	0.57
2829.43	0.44
2832.73	0.00
2836.04	1.89
2839.34	0.00
2842.64	0.00
2845.95	0.00
2849.25	0.00
2852.55	0.00
2855.86	0.00
2859.16	0.00
2862.46	0.20
2865.77	0.00
2869.07	0.00
2872.37	1.69
2875.68	0.79
2878.98	0.15
2882.28	1.26
2885.59	2.01
2888.89	1.58
2892.19	3.90
2895.50	0.49
2898.80	1.49
2902.10	0.00
2905.41	1.26
2908.71	0.00
2912.01	2.84
2915.32	0.00
2918.62	3.45
2921.92	0.00
2925.23	3.88
2928.53	0.00
2931.83	1.57
2935.14	0.45
2938.44	0.00
2941.74	0.00
2945.05	0.90
2948.35	0.00
2951.65	2.21
2954.95	0.00
2958.26	0.00
2961.56	1.49
2964.86	0.00
2968.17	1.45
2971.47	1.43
2974.77	0.00
2978.08	0.21
2981.38	0.00
2984.68	0.48
2987.99	1.17
2991.29	1.44
2994.59	0.00
2997.90	4.21
3001.20	2.16
3004.50	0.99
3007.81	0.00
3011.11	0.00
3014.41	3.33
3017.72	0.00
3021.02	0.00
3024.32	0.00
3027.63	0.00
3030.93	0.79
3034.23	1.76
3037.54	0.00
3040.84	0.40
3044.14	1.75
3047.45	0.00
3050.75	0.00
3054.05	0.00
3057.36	0.00
3060.66	1.27
3063.96	3.18
3067.27	0.00
3070.57	0.14
3073.87	3.17
3077.18	0.50
3080.48	0.00
3083.78	0.00
3087.09	0.43
3090.39	3.17
3093.69	4.12
3097.00	0.00
3100.30	0.53
3103.60	0.00
3106.91	0.00
3110.21	0.00
3113.51	2.34
3116.82	0.00
3120.12	0.00
3123.42	0.29
3126.73	0.00
3130.03	3.31
3133.33	0.62
3136.64	0.87
3139.94	1.54
3143.24	1.68
3146.55	0.00
3149.85	0.28
3153.15	0.00
3156.46	3.15
3159.76	2.88
3163.06	0.00
3166.37	0.80
3169.67	0.00
3172.97	0.00
3176.28	1.35
3179.58	0.48
3182.88	1.24
3186.19	0.00
3189.49	0.00
3192.79	0.00
3196.10	0.00
3199.40	0.00
3202.70	0.00
3206.01	0.00
3209.31	1.56
3212.61	0.00
3215.92	0.00
3219.22	0.00
3222.52	0.14
3225.83	1.07
3229.13	0.27
3232.43	2.19
3235.74	0.00
3239.04	0.84
3242.34	0.00
3245.65	0.00
3248.95	0.00
3252.25	0.50
3255.56	0.76
3258.86	0.00
3262.16	0.46
3265.47	0.00
3268.77	0.00
3272.07	0.00
3275.38	0.00
3278.68	1.64
3281.98	3.15
3285.29	2.68
3288.59	0.00
3291.89	1.90
3295.20	1.06
3298.50	4.44
3301.80	3.06
3305.11	0.00
3308.41	0.00
3311.71	0.00
3315.02	3.60
3318.32	3.10
3321.62	0.13
3324.92	0.00
3328.23	0.08
3331.53	0.00
3334.83	0.00
3338.14	1.76
3341.44	4.07
3344.74	0.00
3348.05	0.45
3351.35	0.00
3354.65	0.63
3357.96	1.21
3361.26	3.42
3364.56	1.62
3367.87	0.00
3371.17	0.00
3374.47	0.00
3377.78	2.70
3381.08	2.69
3384.38	0.00
3387.69	0.43
3390.99	0.00
3394.29	3.32
3397.60	0.84
3400.90	0.00
3404.20	0.00
3407.51	0.00
3410.81	1.59
3414.11	2.13
3417.42	0.00
3420.72	1.16
3424.02	0.00
3427.33	0.00
3430.63	0.00
3433.93	0.00
3437.24	0.00
3440.54	0.00
3443.84	0.00
3447.15	0.00
3450.45	0.27
3453.75	0.00
3457.06	0.00
3460.36	0.64
3463.66	0.00
3466.97	0.00
3470.27	0.43
3473.57	0.00
3476.88	1.12
3480.18	0.68
3483.48	3.86
3486.79	2.21
3490.09	0.00
3493.39	0.00
3496.70	0.00
3500.00	1.59
