# Synthetic Organic - Sample Raman Spectrum
# Wavenumber (cm-1)	Intensity (a.u.)
982.88	38.85
986.19	36.18
989.49	38.56
992.79	38.95
996.10	38.11
999.40	41.89
1002.70	39.12
1006.01	39.88
1009.31	37.31
1012.61	40.33
1015.92	36.82
1019.22	34.72
1022.52	33.30
1025.83	32.16
1029.13	27.89
1032.43	27.78
1035.74	20.63
1039.04	22.14
1042.34	18.36
1045.65	14.64
1048.95	14.50
1052.25	10.85
1055.56	8.51
1058.86	8.17
1062.16	6.79
1065.47	5.73
1068.77	6.76
1072.07	4.26
1075.38	6.70
1078.68	2.14
1081.98	2.44
1085.29	4.37
1088.59	2.49
1091.89	0.56
1095.20	0.00
1098.50	0.54
1101.80	0.00
1105.11	1.67
1108.41	0.78
1111.71	0.00
1115.02	0.00
1118.32	0.93
1121.62	3.46
1124.92	0.57
1128.23	0.00
1131.53	2.14
1134.83	0.00
1138.14	1.01
1141.44	0.00
1144.74	0.20
1148.05	2.46
1151.35	0.00
1154.65	1.30
1157.96	1.55
1161.26	0.22
1164.56	1.88
1167.87	0.00
1171.17	0.00
1174.47	0.00
1177.78	0.01
1181.08	1.00
1184.38	0.00
1187.69	0.04
1190.99	0.00
1194.29	1.37
1197.60	0.89
1200.90	1.13
1204.20	0.00
1207.51	0.00
1210.81	0.92
1214.11	0.00
1217.42	0.16
1220.72	1.50
1224.02	0.06
1227.33	0.00
1230.63	0.00
1233.93	0.00
1237.24	0.00
1240.54	0.00
1243.84	0.00
1247.15	0.00
1250.45	2.14
1253.75	0.00
1257.06	0.00
1260.36	0.16
1263.66	0.00
1266.97	0.48
1270.27	0.00
1273.57	0.26
1276.88	0.00
1280.18	1.21
1283.48	1.34
1286.79	0.00
1290.09	0.00
1293.39	0.00
1296.70	1.43
1300.00	0.00
1303.30	2.01
1306.61	0.00
1309.91	4.33
1313.21	0.00
1316.52	0.00
1319.82	0.00
1323.12	1.81
1326.43	1.78
1329.73	1.96
1333.03	1.38
1336.34	4.08
1339.64	0.00
1342.94	0.00
1346.25	1.60
1349.55	0.00
1352.85	0.51
1356.16	1.42
1359.46	1.61
1362.76	0.50
1366.07	0.00
1369.37	0.00
1372.67	0.00
1375.98	0.00
1379.28	0.00
1382.58	2.07
1385.89	0.00
1389.19	2.81
1392.49	5.70
1395.80	5.77
1399.10	6.10
1402.40	9.45
1405.71	10.73
1409.01	14.77
1412.31	16.59
1415.62	17.32
1418.92	22.30
1422.22	24.65
1425.53	31.09
1428.83	34.59
1432.13	38.98
1435.44	40.93
1438.74	45.73
1442.04	47.89
1445.35	48.57
1448.65	48.47
1451.95	47.87
1455.26	49.10
1458.56	50.30
1461.86	44.15
1465.17	43.44
1468.47	34.54
1471.77	32.22
1475.08	27.24
1478.38	27.36
1481.68	22.23
1484.98	16.69
1488.29	14.88
1491.59	12.64
1494.89	11.03
1498.20	6.25
1501.50	7.50
1504.80	5.55
1508.11	2.45
1511.41	2.97
1514.71	3.30
1518.02	2.99
1521.32	4.72
1524.62	5.18
1527.93	4.68
1531.23	4.53
1534.53	5.76
1537.84	9.83
1541.14	7.25
1544.44	9.68
1547.75	12.11
1551.05	17.09
1554.35	17.74
1557.66	21.08
1560.96	23.64
1564.26	27.59
1567.57	32.53
1570.87	38.01
1574.17	42.23
1577.48	47.64
1580.78	50.04
1584.08	53.90
1587.39	54.76
1590.69	57.22
1593.99	57.55
1597.30	56.93
1600.60	59.25
1603.90	59.22
1607.21	59.89
1610.51	60.48
1613.81	56.34
1617.12	53.14
1620.42	47.75
1623.72	44.46
1627.03	41.04
1630.33	34.62
1633.63	33.66
1636.94	29.70
1640.24	23.06
1643.54	19.64
1646.85	15.41
1650.15	14.01
1653.45	13.14
1656.76	7.02
1660.06	8.92
1663.36	5.39
1666.67	5.66
1669.97	0.68
1673.27	3.56
1676.58	2.48
1679.88	1.88
1683.18	0.84
1686.49	4.66
1689.79	2.20
1693.09	2.08
1696.40	0.00
1699.70	0.00
1703.00	0.12
1706.31	0.78
1709.61	1.86
1712.91	1.93
1716.22	0.00
1719.52	0.69
1722.82	0.00
1726.13	0.00
1729.43	0.00
1732.73	1.92
1736.04	0.00
1739.34	0.00
1742.64	1.56
1745.95	0.00
1749.25	0.05
1752.55	0.00
1755.86	0.53
1759.16	3.05
1762.46	0.00
1765.77	0.00
1769.07	0.00
1772.37	0.01
1775.68	2.52
1778.98	0.00
1782.28	0.00
1785.59	0.18
1788.89	2.31
1792.19	1.17
1795.50	0.00
1798.80	0.00
1802.10	0.00
1805.41	0.00
1808.71	0.20
1812.01	0.01
1815.32	0.92
1818.62	0.65
1821.92	1.12
1825.23	0.00
1828.53	0.21
1831.83	0.00
1835.14	0.00
1838.44	0.47
1841.74	0.08
1845.05	0.34
1848.35	0.00
1851.65	0.00
1854.95	0.00
1858.26	1.06
1861.56	0.00
1864.86	2.41
1868.17	0.31
1871.47	0.44
1874.77	0.00
1878.08	0.00
1881.38	0.00
1884.68	0.00
1887.99	0.54
1891.29	0.27
1894.59	0.31
1897.90	0.00
1901.20	1.43
1904.50	0.00
1907.81	1.32
1911.11	0.00
1914.41	0.00
1917.72	0.11
1921.02	0.00
1924.32	0.44
1927.63	0.00
1930.93	0.24
1934.23	3.08
1937.54	4.61
1940.84	1.27
1944.14	0.00
1947.45	0.61
1950.75	1.18
1954.05	0.05
1957.36	0.00
1960.66	1.14
1963.96	2.20
1967.27	1.41
1970.57	1.93
1973.87	1.23
1977.18	0.07
1980.48	0.00
1983.78	0.11
1987.09	0.00
1990.39	1.24
1993.69	0.00
1997.00	0.00
2000.30	0.00
2003.60	0.46
2006.91	1.73
2010.21	0.00
2013.51	1.32
2016.82	0.00
2020.12	1.66
2023.42	2.77
2026.73	0.14
2030.03	1.12
2033.33	0.03
2036.64	0.83
2039.94	1.62
2043.24	1.77
2046.55	0.00
2049.85	0.00
2053.15	0.00
2056.46	0.00
2059.76	0.00
2063.06	0.86
2066.37	0.68
2069.67	1.66
2072.97	2.77
2076.28	0.00
2079.58	0.00
2082.88	0.00
2086.19	0.12
2089.49	0.65
2092.79	0.00
2096.10	0.66
2099.40	1.38
2102.70	0.71
2106.01	0.00
2109.31	0.00
2112.61	1.27
2115.92	0.12
2119.22	1.82
2122.52	0.34
2125.83	0.99
2129.13	0.21
2132.43	0.05
2135.74	1.75
2139.04	1.17
2142.34	0.00
2145.65	0.00
2148.95	0.68
2152.25	1.97
2155.56	0.12
2158.86	0.48
2162.16	1.40
2165.47	0.00
2168.77	1.20
2172.07	2.04
2175.38	0.00
2178.68	0.95
2181.98	0.00
2185.29	0.32
2188.59	0.00
2191.89	0.48
2195.20	0.10
2198.50	0.00
2201.80	2.85
2205.11	0.93
2208.41	1.19
2211.71	0.00
2215.02	0.00
2218.32	0.00
2221.62	2.04
2224.92	0.37
2228.23	0.00
2231.53	0.00
2234.83	0.00
2238.14	3.38
2241.44	1.98
2244.74	0.00
2248.05	0.00
2251.35	0.00
2254.65	0.27
2257.96	0.00
2261.26	0.00
2264.56	0.00
2267.87	1.72
2271.17	0.00
2274.47	0.00
2277.78	0.35
2281.08	3.18
2284.38	0.00
2287.69	0.89
2290.99	0.05
2294.29	0.11
2297.60	0.00
2300.90	1.22
2304.20	1.85
2307.51	1.67
2310.81	0.00
2314.11	1.56
2317.42	0.00
2320.72	0.00
2324.02	1.14
2327.33	0.00
2330.63	0.00
2333.93	0.84
2337.24	0.00
2340.54	0.00
2343.84	1.72
2347.15	3.63
2350.45	0.00
2353.75	0.00
2357.06	0.00
2360.36	0.00
2363.66	0.05
2366.97	0.00
2370.27	0.00
2373.57	0.00
2376.88	0.00
2380.18	0.00
2383.48	0.00
2386.79	0.00
2390.09	0.00
2393.39	1.21
2396.70	0.00
2400.00	0.00
2403.30	0.43
2406.61	0.00
2409.91	0.00
2413.21	2.21
2416.52	0.30
2419.82	2.89
2423.12	0.29
2426.43	0.00
2429.73	3.45
2433.03	0.00
2436.34	0.00
2439.64	0.00
2442.94	1.81
2446.25	0.16
2449.55	0.00
2452.85	2.07
2456.16	0.72
2459.46	0.06
2462.76	4.36
2466.07	1.42
2469.37	0.14
2472.67	0.72
2475.98	0.00
2479.28	1.05
2482.58	0.00
2485.89	1.53
2489.19	0.00
2492.49	0.00
2495.80	0.81
2499.10	0.00
2502.40	1.07
2505.71	0.00
2509.01	2.53
2512.31	1.64
2515.62	1.77
2518.92	0.00
2522.22	0.59
2525.53	0.00
2528.83	0.00
2532.13	0.13
2535.44	2.35
2538.74	0.00
2542.04	0.00
2545.35	1.69
2548.65	0.00
2551.95	0.00
2555.26	0.00
2558.56	0.98
2561.86	0.00
2565.17	0.00
2568.47	0.47
2571.77	0.00
2575.08	0.09
2578.38	0.00
2581.68	0.00
2584.98	0.22
2588.29	0.00
2591.59	1.95
2594.89	0.00
2598.20	0.50
2601.50	0.78
2604.80	2.30
2608.11	0.00
2611.41	2.25
2614.71	2.05
2618.02	0.00
2621.32	0.00
2624.62	0.00
2627.93	0.35
2631.23	2.51
2634.53	1.71
2637.84	0.00
2641.14	0.73
2644.44	0.00
2647.75	0.00
2651.05	0.00
2654.35	0.90
2657.66	0.00
2660.96	1.23
2664.26	0.00
2667.57	0.00
2670.87	0.00
2674.17	0.47
2677.48	0.00
2680.78	0.00
2684.08	1.62
2687.39	0.00
2690.69	1.97
2693.99	0.00
2697.30	1.38
2700.60	0.00
2703.90	2.93
2707.21	0.00
2710.51	0.08
2713.81	0.00
2717.12	0.00
2720.42	2.55
2723.72	0.00
2727.03	2.04
2730.33	0.00
2733.63	0.89
2736.94	0.00
2740.24	0.00
2743.54	0.00
2746.85	0.00
2750.15	0.00
2753.45	0.66
2756.76	0.09
2760.06	0.00
2763.36	2.29
2766.67	0.00
2769.97	0.00
2773.27	0.85
2776.58	0.00
2779.88	1.01
2783.18	3.41
2786.49	2.39
2789.79	0.00
2793.09	0.68
2796.40	0.00
2799.70	4.28
2803.00	2.57
2806.31	4.87
2809.61	7.21
2812.91	3.28
2816.22	10.90
2819.52	7.75
2822.82	11.88
2826.13	11.75
2829.43	12.37
2832.73	15.43
2836.04	19.64
2839.34	23.43
2842.64	26.45
2845.95	28.05
2849.25	32.55
2852.55	34.05
2855.86	37.65
2859.16	42.17
2862.46	44.41
2865.77	48.75
2869.07	51.49
2872.37	55.14
2875.68	58.77
2878.98	59.47
2882.28	63.99
2885.59	67.10
2888.89	66.71
2892.19	70.76
2895.50	72.66
2898.80	68.05
2902.10	70.39
2905.41	68.15
2908.71	70.04
2912.01	67.08
2915.32	63.13
2918.62	65.06
2921.92	60.64
2925.23	58.73
2928.53	54.08
2931.83	52.86
2935.14	45.34
2938.44	47.04
2941.74	41.58
2945.05	37.23
2948.35	31.39
2951.65	32.26
2954.95	27.80
2958.26	23.29
2961.56	22.19
2964.86	17.69
2968.17	15.31
2971.47	13.24
2974.77	13.71
2978.08	10.62
2981.38	10.61
2984.68	10.21
2987.99	4.13
2991.29	3.78
2994.59	5.22
2997.90	0.70
3001.20	0.60
3004.50	3.89
3007.81	2.81
3011.11	0.00
3014.41	1.31
3017.72	1.36
3021.02	0.00
3024.32	0.00
3027.63	0.00
3030.93	0.84
3034.23	0.94
3037.54	0.00
3040.84	0.00
3044.14	0.00
3047.45	0.00
3050.75	0.00
3054.05	0.00
3057.36	0.33
3060.66	0.00
3063.96	1.72
3067.27	1.39
3070.57	0.00
3073.87	0.96
3077.18	0.00
3080.48	2.91
3083.78	0.00
3087.09	0.00
3090.39	2.61
3093.69	2.26
3097.00	0.00
3100.30	0.00
3103.60	0.00
3106.91	1.04
3110.21	2.46
3113.51	0.00
3116.82	1.57
3120.12	0.42
3123.42	0.00
3126.73	0.00
3130.03	0.00
3133.33	0.00
3136.64	0.00
3139.94	1.20
3143.24	1.50
3146.55	0.00
3149.85	0.86
3153.15	0.22
3156.46	1.87
3159.76	2.07
3163.06	0.77
3166.37	0.41
3169.67	2.12
3172.97	0.00
3176.28	0.00
3179.58	1.37
3182.88	2.35
3186.19	0.69
3189.49	2.08
3192.79	0.00
3196.10	0.02
3199.40	0.00
3202.70	1.99
3206.01	0.83
3209.31	0.10
3212.61	1.06
3215.92	0.00
3219.22	3.43
3222.52	0.00
3225.83	0.00
3229.13	0.99
3232.43	0.00
3235.74	0.73
3239.04	0.00
3242.34	1.17
3245.65	0.35
3248.95	0.00
3252.25	0.00
3255.56	0.00
3258.86	0.00
3262.16	0.00
3265.47	0.00
3268.77	0.00
3272.07	2.29
3275.38	0.00
3278.68	0.00
3281.98	0.00
3285.29	0.00
3288.59	3.60
3291.89	0.74
3295.20	0.00
3298.50	0.00
3301.80	0.82
3305.11	1.34
3308.41	0.00
3311.71	0.75
3315.02	1.42
3318.32	1.49
3321.62	0.03
3324.92	0.38
3328.23	0.00
3331.53	2.12
3334.83	1.13
3338.14	0.00
3341.44	3.11
3344.74	0.55
3348.05	0.70
3351.35	0.00
3354.65	0.00
3357.96	2.62
3361.26	0.00
3364.56	0.00
3367.87	3.73
3371.17	0.83
3374.47	0.42
3377.78	0.00
3381.08	0.93
3384.38	0.23
3387.69	1.14
3390.99	0.00
3394.29	0.00
3397.60	1.70
3400.90	0.00
3404.20	1.50
3407.51	0.77
3410.81	0.90
3414.11	2.54
3417.42	0.00
3420.72	0.00
3424.02	0.00
3427.33	1.42
3430.63	0.00
3433.93	2.22
3437.24	0.49
3440.54	0.00
3443.84	0.00
3447.15	0.00
3450.45	0.00
3453.75	0.00
3457.06	0.46
3460.36	0.00
3463.66	0.00
3466.97	0.00
3470.27	0.00
3473.57	0.00
3476.88	0.00
3480.18	0.00
3483.48	1.11
3486.79	0.00
3490.09	0.63
3493.39	0.00
3496.70	0.95
3500.00	1.68
