# Synthetic Quartz - Sample Raman Spectrum
# Wavenumber (cm-1)	Intensity (a.u.)
1564.26	0.00
1567.57	5.43
1570.87	0.00
1574.17	0.00
1577.48	1.41
1580.78	0.67
1584.08	0.00
1587.39	0.34
1590.69	0.00
1593.99	0.43
1597.30	1.34
1600.60	0.00
1603.90	0.00
1607.21	0.00
1610.51	1.31
1613.81	0.00
1617.12	2.08
1620.42	0.43
1623.72	0.00
1627.03	0.00
1630.33	0.95
1633.63	1.27
1636.94	0.00
1640.24	0.00
1643.54	0.00
1646.85	1.83
1650.15	0.00
1653.45	2.39
1656.76	0.00
1660.06	0.00
1663.36	1.28
1666.67	0.91
1669.97	0.84
1673.27	0.00
1676.58	0.00
1679.88	0.00
1683.18	0.63
1686.49	0.00
1689.79	0.00
1693.09	0.00
1696.40	0.22
1699.70	0.68
1703.00	1.84
1706.31	0.74
1709.61	4.82
1712.91	4.45
1716.22	0.68
1719.52	0.00
1722.82	0.00
1726.13	0.00
1729.43	0.00
1732.73	0.60
1736.04	0.44
1739.34	0.00
1742.64	0.77
1745.95	0.07
1749.25	0.00
1752.55	0.00
1755.86	0.00
1759.16	1.42
1762.46	0.00
1765.77	3.29
1769.07	1.35
1772.37	0.00
1775.68	2.84
1778.98	0.00
1782.28	0.00
1785.59	0.00
1788.89	0.93
1792.19	2.10
1795.50	1.70
1798.80	2.05
1802.10	2.20
1805.41	0.00
1808.71	0.00
1812.01	2.34
1815.32	1.44
1818.62	0.00
1821.92	0.00
1825.23	1.81
1828.53	0.17
1831.83	2.32
1835.14	0.00
1838.44	0.00
1841.74	0.62
1845.05	0.19
1848.35	3.71
1851.65	0.00
1854.95	2.46
1858.26	0.00
1861.56	0.48
1864.86	5.72
1868.17	0.00
1871.47	1.33
1874.77	1.92
1878.08	0.00
1881.38	1.05
1884.68	0.00
1887.99	0.00
1891.29	0.00
1894.59	0.00
1897.90	0.00
1901.20	0.00
1904.50	0.00
1907.81	1.21
1911.11	0.00
1914.41	0.00
1917.72	1.34
1921.02	3.43
1924.32	2.20
1927.63	0.00
1930.93	0.00
1934.23	0.00
1937.54	0.00
1940.84	0.92
1944.14	0.42
1947.45	0.00
1950.75	2.04
1954.05	1.42
1957.36	0.00
1960.66	0.91
1963.96	0.41
1967.27	1.31
1970.57	0.00
1973.87	0.00
1977.18	0.00
1980.48	0.00
1983.78	0.00
1987.09	0.00
1990.39	0.00
1993.69	2.23
1997.00	3.90
2000.30	0.00
2003.60	3.61
2006.91	0.00
2010.21	0.26
2013.51	0.00
2016.82	0.00
2020.12	0.85
2023.42	2.54
2026.73	0.00
2030.03	2.55
2033.33	0.00
2036.64	0.00
2039.94	1.25
2043.24	0.00
2046.55	0.00
2049.85	0.01
2053.15	0.00
2056.46	0.00
2059.76	0.37
2063.06	0.00
2066.37	0.00
2069.67	0.00
2072.97	2.05
2076.28	0.00
2079.58	2.06
2082.88	1.36
2086.19	0.00
2089.49	0.00
2092.79	0.00
2096.10	0.00
2099.40	0.09
2102.70	2.16
2106.01	1.22
2109.31	0.26
2112.61	2.40
2115.92	0.68
2119.22	0.00
2122.52	0.00
2125.83	0.89
2129.13	0.00
2132.43	0.00
2135.74	0.00
2139.04	0.00
2142.34	1.12
2145.65	0.00
2148.95	0.00
2152.25	0.00
2155.56	1.06
2158.86	0.00
2162.16	2.69
2165.47	0.00
2168.77	2.68
2172.07	0.00
2175.38	3.28
2178.68	0.00
2181.98	1.82
2185.29	1.67
2188.59	0.46
2191.89	1.09
2195.20	0.00
2198.50	0.00
2201.80	0.00
2205.11	0.00
2208.41	1.79
2211.71	0.00
2215.02	0.40
2218.32	0.00
2221.62	3.40
2224.92	0.00
2228.23	0.00
2231.53	0.70
2234.83	1.25
2238.14	0.00
2241.44	0.00
2244.74	1.02
2248.05	0.00
2251.35	0.00
2254.65	0.14
2257.96	0.00
2261.26	0.27
2264.56	0.77
2267.87	0.00
2271.17	0.18
2274.47	1.77
2277.78	0.00
2281.08	2.26
2284.38	0.00
2287.69	0.06
2290.99	0.00
2294.29	0.00
2297.60	0.00
2300.90	0.00
2304.20	0.00
2307.51	2.27
2310.81	0.00
2314.11	0.00
2317.42	2.70
2320.72	0.00
2324.02	1.26
2327.33	0.00
2330.63	0.00
2333.93	1.60
2337.24	0.00
2340.54	2.97
2343.84	0.80
2347.15	1.75
2350.45	0.00
2353.75	1.03
2357.06	0.00
2360.36	0.00
2363.66	0.00
2366.97	0.00
2370.27	1.52
2373.57	2.77
2376.88	0.00
2380.18	0.00
2383.48	0.00
2386.79	0.00
2390.09	0.00
2393.39	2.25
2396.70	0.00
2400.00	0.90
2403.30	2.01
2406.61	0.17
2409.91	0.00
2413.21	1.11
2416.52	0.00
2419.82	0.00
2423.12	3.80
2426.43	2.90
2429.73	0.00
2433.03	1.60
2436.34	0.22
2439.64	0.96
2442.94	0.00
2446.25	0.03
2449.55	0.00
2452.85	0.00
2456.16	0.00
2459.46	1.27
2462.76	0.00
2466.07	0.00
2469.37	2.17
2472.67	0.00
2475.98	0.00
2479.28	2.82
2482.58	5.56
2485.89	0.00
2489.19	1.56
2492.49	0.00
2495.80	0.00
2499.10	0.00
2502.40	0.00
2505.71	0.00
2509.01	0.31
2512.31	0.00
2515.62	4.74
2518.92	0.00
2522.22	1.32
2525.53	0.92
2528.83	1.77
2532.13	0.00
2535.44	0.22
2538.74	0.00
2542.04	0.00
2545.35	0.00
2548.65	0.00
2551.95	0.37
2555.26	0.00
2558.56	0.00
2561.86	2.47
2565.17	0.52
2568.47	1.39
2571.77	0.70
2575.08	0.50
2578.38	0.55
2581.68	0.00
2584.98	0.00
2588.29	3.45
2591.59	0.00
2594.89	0.00
2598.20	0.00
2601.50	1.01
2604.80	0.00
2608.11	0.00
2611.41	4.08
2614.71	0.20
2618.02	0.00
2621.32	2.40
2624.62	3.66
2627.93	0.00
2631.23	0.61
2634.53	0.00
2637.84	0.00
2641.14	0.00
2644.44	0.83
2647.75	0.00
2651.05	0.64
2654.35	0.00
2657.66	0.00
2660.96	0.70
2664.26	0.00
2667.57	1.47
2670.87	0.64
2674.17	0.63
2677.48	1.49
2680.78	0.00
2684.08	0.00
2687.39	0.00
2690.69	0.16
2693.99	0.00
2697.30	0.79
2700.60	0.13
2703.90	0.00
2707.21	0.00
2710.51	0.00
2713.81	0.00
2717.12	0.00
2720.42	0.40
2723.72	0.00
2727.03	0.00
2730.33	3.09
2733.63	0.10
2736.94	0.00
2740.24	0.00
2743.54	0.14
2746.85	0.58
2750.15	0.00
2753.45	0.00
2756.76	0.00
2760.06	0.00
2763.36	0.00
2766.67	0.00
2769.97	0.00
2773.27	0.00
2776.58	2.03
2779.88	0.43
2783.18	0.11
2786.49	0.00
2789.79	0.00
2793.09	0.00
2796.40	4.99
2799.70	0.97
2803.00	0.00
2806.31	0.43
2809.61	0.00
2812.91	0.00
2816.22	0.03
2819.52	0.00
2822.82	0.00
2826.13	3.29
2829.43	0.89
2832.73	0.00
2836.04	0.00
2839.34	0.00
2842.64	0.14
2845.95	2.70
2849.25	0.00
2852.55	0.00
2855.86	2.80
2859.16	0.04
2862.46	0.00
2865.77	0.00
2869.07	0.36
2872.37	0.00
2875.68	1.13
2878.98	0.00
2882.28	0.00
2885.59	1.61
2888.89	0.77
2892.19	0.00
2895.50	0.00
2898.80	0.55
2902.10	0.00
2905.41	2.46
2908.71	2.25
2912.01	0.00
2915.32	5.71
2918.62	0.00
2921.92	0.00
2925.23	0.00
2928.53	0.00
2931.83	0.20
2935.14	1.14
2938.44	0.00
2941.74	0.33
2945.05	0.00
2948.35	0.00
2951.65	0.00
2954.95	0.50
2958.26	0.00
2961.56	2.69
2964.86	0.66
2968.17	0.00
2971.47	0.00
2974.77	2.01
2978.08	0.08
2981.38	0.00
2984.68	0.00
2987.99	0.00
2991.29	0.00
2994.59	0.22
2997.90	0.00
3001.20	2.31
3004.50	0.00
3007.81	0.00
3011.11	0.00
3014.41	0.29
3017.72	1.47
3021.02	0.00
3024.32	1.51
3027.63	0.00
3030.93	0.00
3034.23	0.06
3037.54	0.00
3040.84	0.58
3044.14	0.00
3047.45	0.86
3050.75	0.26
3054.05	0.93
3057.36	1.54
3060.66	1.12
3063.96	0.00
3067.27	0.00
3070.57	3.66
3073.87	0.00
3077.18	0.00
3080.48	0.59
3083.78	3.20
3087.09	2.15
3090.39	0.94
3093.69	0.00
3097.00	0.88
3100.30	1.20
3103.60	3.93
3106.91	1.32
3110.21	0.10
3113.51	2.79
3116.82	2.31
3120.12	1.11
3123.42	1.48
3126.73	1.37
3130.03	0.00
3133.33	1.98
3136.64	4.91
3139.94	0.00
3143.24	0.00
3146.55	0.09
3149.85	0.00
3153.15	0.00
3156.46	3.72
3159.76	0.52
3163.06	0.00
3166.37	3.09
3169.67	0.00
3172.97	0.00
3176.28	0.00
3179.58	2.61
3182.88	0.54
3186.19	0.00
3189.49	1.90
3192.79	0.02
3196.10	0.00
3199.40	2.52
3202.70	2.84
3206.01	0.00
3209.31	1.16
3212.61	2.34
3215.92	1.76
3219.22	0.53
3222.52	0.00
3225.83	0.00
3229.13	0.00
3232.43	1.05
3235.74	2.38
3239.04	0.35
3242.34	0.60
3245.65	0.00
3248.95	0.00
3252.25	0.91
3255.56	0.00
3258.86	0.00
3262.16	1.66
3265.47	0.00
3268.77	1.57
3272.07	0.13
3275.38	0.00
3278.68	2.47
3281.98	0.00
3285.29	0.00
3288.59	0.68
3291.89	0.00
3295.20	0.00
3298.50	0.00
3301.80	0.00
3305.11	0.22
3308.41	0.00
3311.71	2.93
3315.02	0.20
3318.32	0.00
3321.62	3.08
3324.92	2.90
3328.23	4.34
3331.53	3.21
3334.83	0.07
3338.14	3.75
3341.44	0.00
3344.74	0.00
3348.05	2.55
3351.35	0.00
3354.65	0.00
3357.96	0.53
3361.26	0.00
3364.56	1.43
3367.87	0.00
3371.17	0.00
3374.47	0.00
3377.78	1.77
3381.08	2.27
3384.38	0.00
3387.69	3.26
3390.99	0.00
3394.29	2.73
3397.60	0.00
3400.90	2.51
3404.20	3.06
3407.51	0.00
3410.81	0.00
3414.11	0.00
3417.42	0.00
3420.72	0.61
3424.02	0.98
3427.33	0.95
3430.63	1.67
3433.93	0.00
3437.24	0.81
3440.54	0.00
3443.84	0.00
3447.15	0.00
3450.45	0.25
3453.75	0.02
3457.06	0.00
3460.36	0.00
3463.66	0.00
3466.97	0.00
3470.27	0.00
3473.57	0.00
3476.88	1.64
3480.18	0.53
3483.48	0.00
3486.79	5.65
3490.09	0.00
3493.39	0.00
3496.70	2.50
3500.00	2.50
